343555.0894,2520703.1139,0.1824:446140.2920,2519994.4624,0
371868.4951,2517519.1361,0.1523:474467.9840,2517002.4819,0
376759.1588,2542347.7158,-0.0401:479189.2663,2541858.9356,0
399353.4892,2528382.5793,0.0204:501874.4508,2528049.7946,0
414235.9759,2515161.5647,0.0900:516844.3692,2514931.1107,0
430529.2836,2523337.7495,-0.0009:533080.9732,2523216.5955,0
418323.7678,2540568.4108,-0.1052:520759.5786,2540362.9453,0
411854.8595,2571341.4314,-0.3200:514080.6921,2571088.2838,0
403385.6776,2545503.9922,-0.1136:505789.6602,2545196.1447,0
379786.4474,2563965.7264,-0.2052:482068.0968,2563493.2564,0
394703.3613,2572610.4911,-0.2970:496922.8619,2572239.0457,0
386208.2564,2593271.4364,-0.4331:488286.3707,2592837.6808,0
